keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F10800#F10415,         96,         67,       164,            0,         400, 10
F10800#F12681,         82,         70,       153,            0,         400, 10
F10800#F12061,         94,         68,       163,            0,         400, 10
F10800#F10872,         86,        130,       217,            0,         400, 10
F10800#F12326,         79,         67,       146,            0,         400, 10
F10800#F1114 ,         76,         68,       145,            0,         400, 10
F10800#F10089,         80,         61,       142,            1,         400, 10
F10800#F13191,         76,         65,       141,            0,         400, 10
F10800#F12339,        113,        207,       322,            1,         400, 10
F10800#F12518,        210,        174,       385,            0,         400, 10
F10800#F10632,        100,         41,       143,            0,         400, 10
F10800#F10091,         56,         79,       135,            0,         400, 10
F10800#F106  ,         79,         72,       152,            0,         400, 10
F10800#F1210 ,         80,         66,       147,            1,         400, 10
F10800#F10951,         80,         69,       151,            0,         400, 10
F10800#F11088,         81,         65,       146,            0,         400, 10
F10800#F10643,         75,         69,       145,            0,         400, 10
F10800#F10044,        137,         65,       203,            1,         400, 10
F10800#F10382,         78,         67,       146,            0,         400, 10
F10800#F11036,         78,         66,       144,            0,         400, 10
F10800#F10238,         81,         66,       148,            0,         400, 10
F10800#F10519,         83,         66,       151,            1,         400, 10
F10800#F13525,         82,         67,       151,            0,         400, 10
F10800#F11706,         81,         71,       153,            0,         400, 10
F10800#F11119,         84,         68,       153,            0,         400, 10
F10800#F11553,         79,         80,       159,            0,         400, 10
F10800#F10361,         78,         64,       143,            0,         400, 10
F10800#F13916,         72,         71,       143,            0,         400, 10
F10800#F13738,         89,         61,       150,            0,         400, 10
F10800#F12037,         73,         66,       140,            0,         400, 10
F10800#F227  ,         85,         62,       147,            0,         400, 10
F10800#F10831,         73,         61,       135,            0,         400, 10
F10800#F10907,         74,         64,       139,            0,         400, 10
F10800#F12030,         72,         67,       139,            0,         400, 10
F10800#F10577,        120,         62,       183,            0,         400, 10
F10800#F10356,         74,         61,       135,            0,         400, 10
F10800#F10188,         73,         65,       139,            0,         400, 10
F10800#F10034,         68,         74,       143,            0,         400, 10
F10800#F13740,         81,         81,       163,            0,         400, 10
F10800#F10699,        101,         72,       175,            0,         400, 10
F10800#F1143 ,         79,         73,       154,            0,         400, 10
F10800#F10192,        111,         73,       185,            0,         400, 10
F10800#F149  ,         78,         74,       154,            0,         400, 10
F10800#F11519,        128,         65,       194,            0,         400, 10
F10800#F10604,         77,         59,       137,            0,         400, 10
F10800#F1062 ,         81,         63,       144,            0,         400, 10
F10800#F10549,         74,         64,       139,            0,         400, 10
F10800#F10455,         69,         72,       142,            0,         400, 10
F10800#F11286,         75,         64,       139,            0,         400, 10
F10800#F1093 ,         72,         65,       138,            0,         400, 10
F10800#F11336,         56,       2506,      2563,            0,         400, 10
F10800#F10510,        344,         50,       395,            0,         400, 10
F10800#F11015,         62,         78,       141,            0,         400, 10
